id,name.local,name.en,name.slug,code.id,children_count.subcounty,geo.lat,geo.lon
UG206001,Kasilo,Kasilo,kasilo-ug206001,UG206001,7,1.503,33.23
UG206002,Serere,Serere,serere-ug206002,UG206002,5,1.491,33.566
