id,name.local,name.en,name.slug,code.id,children_count.county,children_count.subcounty,geo.lat,geo.lon
UG3064,Abim,Abim,abim-ug3064,UG3064,1,8,2.746,33.726
UG3065,Adjumani,Adjumani,adjumani-ug3065,UG3065,1,10,3.235,31.787
UG3066,Agago,Agago,agago-ug3066,UG3066,1,16,2.945,33.387
UG3067,Alebtong,Alebtong,alebtong-ug3067,UG3067,1,9,2.266,33.325
UG3068,Amolatar,Amolatar,amolatar-ug3068,UG3068,1,11,1.636,32.633
UG3069,Amudat,Amudat,amudat-ug3069,UG3069,1,4,1.825,34.93
UG3070,Amuru,Amuru,amuru-ug3070,UG3070,1,5,3.128,32.105
UG3071,Apac,Apac,apac-ug3071,UG3071,2,8,1.931,32.502
UG3072,Arua,Arua,arua-ug3072,UG3072,4,19,2.998,31.015
UG3073,Dokolo,Dokolo,dokolo-ug3073,UG3073,1,11,1.907,33.076
UG3074,Gulu,Gulu,gulu-ug3074,UG3074,2,10,3.019,32.388
UG3075,Kaabong,Kaabong,kaabong-ug3075,UG3075,1,13,3.655,34.209
UG3076,Karenga,Karenga,karenga-ug3076,UG3076,1,7,3.71,33.769
UG3077,Kitgum,Kitgum,kitgum-ug3077,UG3077,2,12,3.417,33.318
UG3078,Koboko,Koboko,koboko-ug3078,UG3078,2,9,3.533,30.985
UG3079,Kole,Kole,kole-ug3079,UG3079,1,7,2.299,32.739
UG3080,Kotido,Kotido,kotido-ug3080,UG3080,2,9,2.989,34.035
UG3081,Kwania,Kwania,kwania-ug3081,UG3081,1,6,1.901,32.774
UG3082,Lamwo,Lamwo,lamwo-ug3082,UG3082,1,11,3.521,32.623
UG3083,Lira,Lira,lira-ug3083,UG3083,2,13,2.332,32.95
UG3084,Madi Okollo,Madi Okollo,madi-okollo-ug3084,UG3084,1,10,2.867,31.238
UG3085,Maracha,Maracha,maracha-ug3085,UG3085,1,8,3.244,30.926
UG3086,Moroto,Moroto,moroto-ug3086,UG3086,2,6,2.613,34.641
UG3087,Moyo,Moyo,moyo-ug3087,UG3087,1,6,3.665,31.747
UG3088,Nabilatuk,Nabilatuk,nabilatuk-ug3088,UG3088,1,4,2.038,34.586
UG3089,Nakapiripirit,Nakapiripirit,nakapiripirit-ug3089,UG3089,1,5,1.847,34.639
UG3090,Napak,Napak,napak-ug3090,UG3090,1,8,2.395,34.26
UG3091,Nebbi,Nebbi,nebbi-ug3091,UG3091,2,11,2.433,31.163
UG3092,Nwoya,Nwoya,nwoya-ug3092,UG3092,1,8,2.526,31.872
UG3093,Obongi,Obongi,obongi-ug3093,UG3093,1,4,3.364,31.537
UG3094,Omoro,Omoro,omoro-ug3094,UG3094,1,7,2.645,32.498
UG3095,Otuke,Otuke,otuke-ug3095,UG3095,1,8,2.476,33.383
UG3096,Oyam,Oyam,oyam-ug3096,UG3096,1,12,2.346,32.424
UG3097,Pader,Pader,pader-ug3097,UG3097,1,12,2.887,32.913
UG3098,Pakwach,Pakwach,pakwach-ug3098,UG3098,1,6,2.465,31.396
UG3099,Yumbe,Yumbe,yumbe-ug3099,UG3099,1,13,3.488,31.285
UG3100,Zombo,Zombo,zombo-ug3100,UG3100,1,13,2.52,30.875
