id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.district,children_count.county,children_count.subcounty,zip_codes,geo.lat,geo.lon
UG307401,3,County,County,Aswa,Aswa,aswa-ug307401,UG307401,,UG3074,Gulu,Gulu,,,,6,,3.034,32.38
UG307402,3,County,County,Gulu Municipality,Gulu Municipality,gulu-municipality-ug307402,UG307402,,UG3074,Gulu,Gulu,,,,4,,2.781,32.288
UG3075,2,District,District,Kaabong,Kaabong,kaabong-ug3075,UG3075,,UG3,Northern,Northern,,,1,13,,3.655,34.209
UG307501,3,County,County,Dodoth,Dodoth,dodoth-ug307501,UG307501,,UG3075,Kaabong,Kaabong,,,,13,,3.655,34.209
UG3076,2,District,District,Karenga,Karenga,karenga-ug3076,UG3076,,UG3,Northern,Northern,,,1,7,,3.71,33.769
UG307601,3,County,County,Dodoth,Dodoth,dodoth-ug307601,UG307601,,UG3076,Karenga,Karenga,,,,7,,3.71,33.769
UG3077,2,District,District,Kitgum,Kitgum,kitgum-ug3077,UG3077,,UG3,Northern,Northern,,,2,12,,3.417,33.318
UG307701,3,County,County,Chua,Chua,chua-ug307701,UG307701,,UG3077,Kitgum,Kitgum,,,,9,,3.417,33.318
UG307702,3,County,County,Kitgum Municipality,Kitgum Municipality,kitgum-municipality-ug307702,UG307702,,UG3077,Kitgum,Kitgum,,,,3,,3.299,32.885
UG3078,2,District,District,Koboko,Koboko,koboko-ug3078,UG3078,,UG3,Northern,Northern,,,2,9,,3.533,30.985
UG307801,3,County,County,Koboko,Koboko,koboko-ug307801,UG307801,,UG3078,Koboko,Koboko,,,,6,,3.533,30.985
UG307802,3,County,County,Koboko Municipality,Koboko Municipality,koboko-municipality-ug307802,UG307802,,UG3078,Koboko,Koboko,,,,3,,3.402,30.952
UG3079,2,District,District,Kole,Kole,kole-ug3079,UG3079,,UG3,Northern,Northern,,,1,7,,2.299,32.739
UG307901,3,County,County,Kole,Kole,kole-ug307901,UG307901,,UG3079,Kole,Kole,,,,7,,2.299,32.739
UG3080,2,District,District,Kotido,Kotido,kotido-ug3080,UG3080,,UG3,Northern,Northern,,,2,9,,2.989,34.035
UG308001,3,County,County,Jie,Jie,jie-ug308001,UG308001,,UG3080,Kotido,Kotido,,,,5,,2.989,33.876
UG308002,3,County,County,Kotido Municipality,Kotido Municipality,kotido-municipality-ug308002,UG308002,,UG3080,Kotido,Kotido,,,,4,,2.984,34.073
UG3081,2,District,District,Kwania,Kwania,kwania-ug3081,UG3081,,UG3,Northern,Northern,,,1,6,,1.901,32.774
UG308101,3,County,County,Kwania,Kwania,kwania-ug308101,UG308101,,UG3081,Kwania,Kwania,,,,6,,1.901,32.774
UG3082,2,District,District,Lamwo,Lamwo,lamwo-ug3082,UG3082,,UG3,Northern,Northern,,,1,11,,3.521,32.623
UG308201,3,County,County,Lamwo,Lamwo,lamwo-ug308201,UG308201,,UG3082,Lamwo,Lamwo,,,,11,,3.521,32.623
UG3083,2,District,District,Lira,Lira,lira-ug3083,UG3083,,UG3,Northern,Northern,,,2,13,,2.332,32.95
UG308301,3,County,County,Erute,Erute,erute-ug308301,UG308301,,UG3083,Lira,Lira,,,,9,,2.332,32.95
UG308302,3,County,County,Lira Municipality,Lira Municipality,lira-municipality-ug308302,UG308302,,UG3083,Lira,Lira,,,,4,,2.249,32.897
UG3084,2,District,District,Madi Okollo,Madi Okollo,madi-okollo-ug3084,UG3084,,UG3,Northern,Northern,,,1,10,,2.867,31.238
UG308401,3,County,County,Madi Okollo,Madi Okollo,madi-okollo-ug308401,UG308401,,UG3084,Madi Okollo,Madi Okollo,,,,10,,2.867,31.238
UG3085,2,District,District,Maracha,Maracha,maracha-ug3085,UG3085,,UG3,Northern,Northern,,,1,8,,3.244,30.926
UG308501,3,County,County,Maracha,Maracha,maracha-ug308501,UG308501,,UG3085,Maracha,Maracha,,,,8,,3.244,30.926
UG3086,2,District,District,Moroto,Moroto,moroto-ug3086,UG3086,,UG3,Northern,Northern,,,2,6,,2.613,34.641
UG308601,3,County,County,Matheniko,Matheniko,matheniko-ug308601,UG308601,,UG3086,Moroto,Moroto,,,,4,,2.613,34.641
UG308602,3,County,County,Moroto Municipality,Moroto Municipality,moroto-municipality-ug308602,UG308602,,UG3086,Moroto,Moroto,,,,2,,2.53,34.66
UG3087,2,District,District,Moyo,Moyo,moyo-ug3087,UG3087,,UG3,Northern,Northern,,,1,6,,3.665,31.747
UG308701,3,County,County,Moyo,Moyo,moyo-ug308701,UG308701,,UG3087,Moyo,Moyo,,,,6,,3.665,31.747
UG3088,2,District,District,Nabilatuk,Nabilatuk,nabilatuk-ug3088,UG3088,,UG3,Northern,Northern,,,1,4,,2.038,34.586
