id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.district,children_count.county,children_count.subcounty,zip_codes,geo.lat,geo.lon
UG102501,3,County,County,Lwemiyaga,Lwemiyaga,lwemiyaga-ug102501,UG102501,,UG1025,Ssembabule,Ssembabule,,,,2,,0.063,31.181
UG102502,3,County,County,Mawogola,Mawogola,mawogola-ug102502,UG102502,,UG1025,Ssembabule,Ssembabule,,,,6,,-0.069,31.419
UG1026,2,District,District,Wakiso,Wakiso,wakiso-ug1026,UG1026,,UG1,Central,Central,,,6,27,,0.216,32.514
UG102601,3,County,County,Busiro,Busiro,busiro-ug102601,UG102601,,UG1026,Wakiso,Wakiso,,,,14,,0.213,32.468
UG102602,3,County,County,Entebbe Municipality,Entebbe Municipality,entebbe-municipality-ug102602,UG102602,,UG1026,Wakiso,Wakiso,,,,2,,-0.025,32.447
UG102603,3,County,County,Kira Municipality,Kira Municipality,kira-municipality-ug102603,UG102603,,UG1026,Wakiso,Wakiso,,,,3,,0.385,32.646
UG102604,3,County,County,Kyadondo,Kyadondo,kyadondo-ug102604,UG102604,,UG1026,Wakiso,Wakiso,,,,1,,0.455,32.583
UG102605,3,County,County,Makindye Ssabagabo Municipality,Makindye Ssabagabo Municipality,makindye-ssabagabo-municipality-ug102605,UG102605,,UG1026,Wakiso,Wakiso,,,,3,,0.231,32.578
UG102606,3,County,County,Nansana Municipality,Nansana Municipality,nansana-municipality-ug102606,UG102606,,UG1026,Wakiso,Wakiso,,,,4,,0.465,32.509
UG2,1,Region,Region,Eastern,Eastern,eastern-ug2,UG2,,,,,,37,54,454,,0.709,33.682
UG2027,2,District,District,Amuria,Amuria,amuria-ug2027,UG2027,,UG2,Eastern,Eastern,,,1,11,,1.981,33.658
UG202701,3,County,County,Amuria,Amuria,amuria-ug202701,UG202701,,UG2027,Amuria,Amuria,,,,11,,1.981,33.658
UG2028,2,District,District,Budaka,Budaka,budaka-ug2028,UG2028,,UG2,Eastern,Eastern,,,2,13,,1.064,34.005
UG202801,3,County,County,Budaka,Budaka,budaka-ug202801,UG202801,,UG2028,Budaka,Budaka,,,,7,,1.022,33.981
UG202802,3,County,County,Iki-Iki,Iki-Iki,iki-iki-ug202802,UG202802,,UG2028,Budaka,Budaka,,,,6,,1.114,34.021
