id,name.local,name.en,name.slug,code.id,children_count.county,children_count.subcounty,geo.lat,geo.lon
UG2027,Amuria,Amuria,amuria-ug2027,UG2027,1,11,1.981,33.658
UG2028,Budaka,Budaka,budaka-ug2028,UG2028,2,13,1.064,34.005
UG2029,Bududa,Bududa,bududa-ug2029,UG2029,1,17,1.026,34.391
UG2030,Bugiri,Bugiri,bugiri-ug2030,UG2030,2,12,0.519,33.773
UG2031,Bugweri,Bugweri,bugweri-ug2031,UG2031,1,7,0.622,33.616
UG2032,Bukedea,Bukedea,bukedea-ug2032,UG2032,1,6,1.369,34.142
UG2033,Bukwo,Bukwo,bukwo-ug2033,UG2033,1,12,1.27,34.698
UG2034,Bulambuli,Bulambuli,bulambuli-ug2034,UG2034,1,20,1.348,34.279
UG2035,Busia,Busia,busia-ug2035,UG2035,2,16,0.391,34.016
UG2036,Butaleja,Butaleja,butaleja-ug2036,UG2036,1,12,0.866,33.885
UG2037,Butebo,Butebo,butebo-ug2037,UG2037,1,6,1.172,34.06
UG2038,Buyende,Buyende,buyende-ug2038,UG2038,1,6,1.233,33.176
UG2039,Iganga,Iganga,iganga-ug2039,UG2039,2,10,0.722,33.502
UG2040,Jinja,Jinja,jinja-ug2040,UG2040,3,12,0.544,33.229
UG2041,Kaberamaido,Kaberamaido,kaberamaido-ug2041,UG2041,1,6,1.685,33.117
UG2042,Kalaki,Kalaki,kalaki-ug2042,UG2042,1,7,1.83,33.356
UG2043,Kaliro,Kaliro,kaliro-ug2043,UG2043,1,12,1.08,33.482
UG2044,Kamuli,Kamuli,kamuli-ug2044,UG2044,3,16,0.94,33.128
UG2045,Kapchorwa,Kapchorwa,kapchorwa-ug2045,UG2045,2,14,1.328,34.407
UG2046,Kapelebyong,Kapelebyong,kapelebyong-ug2046,UG2046,1,6,2.195,33.777
UG2047,Katakwi,Katakwi,katakwi-ug2047,UG2047,2,10,1.971,34.058
UG2048,Kibuku,Kibuku,kibuku-ug2048,UG2048,1,17,1.055,33.806
UG2049,Kumi,Kumi,kumi-ug2049,UG2049,2,8,1.456,33.925
UG2050,Kween,Kween,kween-ug2050,UG2050,1,13,1.351,34.561
UG2051,Luuka,Luuka,luuka-ug2051,UG2051,1,8,0.818,33.328
UG2052,Manafwa,Manafwa,manafwa-ug2052,UG2052,1,17,0.883,34.27
UG2053,Mayuge,Mayuge,mayuge-ug2053,UG2053,1,14,-0.193,33.59
UG2054,Mbale,Mbale,mbale-ug2054,UG2054,2,27,1.002,34.197
UG2055,Namayingo,Namayingo,namayingo-ug2055,UG2055,1,9,-0.27,33.814
UG2056,Namisindwa,Namisindwa,namisindwa-ug2056,UG2056,1,17,0.864,34.384
UG2057,Namutumba,Namutumba,namutumba-ug2057,UG2057,1,10,0.887,33.666
UG2058,Ngora,Ngora,ngora-ug2058,UG2058,1,5,1.496,33.774
UG2059,Pallisa,Pallisa,pallisa-ug2059,UG2059,2,14,1.217,33.691
UG2060,Serere,Serere,serere-ug2060,UG2060,2,12,1.492,33.359
UG2061,Sironko,Sironko,sironko-ug2061,UG2061,1,21,1.188,34.292
UG2062,Soroti,Soroti,soroti-ug2062,UG2062,2,10,1.788,33.607
UG2063,Tororo,Tororo,tororo-ug2063,UG2063,3,21,0.739,34.103
