id,name.local,name.en,name.slug,code.id,children_count.subcounty,geo.lat,geo.lon
UG101401,Bamunanika,Bamunanika,bamunanika-ug101401,UG101401,5,0.85,32.701
UG101402,Katikamu,Katikamu,katikamu-ug101402,UG101402,8,0.842,32.522
