id,name.local,name.en,name.slug,code.id,children_count.county,children_count.subcounty,geo.lat,geo.lon
UG4101,Buhweju,Buhweju,buhweju-ug4101,UG4101,1,8,-0.323,30.348
UG4102,Buliisa,Buliisa,buliisa-ug4102,UG4102,1,7,1.974,31.383
UG4103,Bundibugyo,Bundibugyo,bundibugyo-ug4103,UG4103,2,24,0.647,30.042
UG4104,Bunyangabu,Bunyangabu,bunyangabu-ug4104,UG4104,1,12,0.48,30.202
UG4105,Bushenyi,Bushenyi,bushenyi-ug4105,UG4105,2,14,-0.475,30.171
UG4106,Hoima,Hoima,hoima-ug4106,UG4106,2,10,1.564,31.149
UG4107,Ibanda,Ibanda,ibanda-ug4107,UG4107,2,15,-0.062,30.492
UG4108,Isingiro,Isingiro,isingiro-ug4108,UG4108,2,19,-0.839,30.931
UG4109,Kabale,Kabale,kabale-ug4109,UG4109,2,13,-1.336,30.037
UG4110,Kabarole,Kabarole,kabarole-ug4110,UG4110,2,18,0.621,30.268
UG4111,Kagadi,Kagadi,kagadi-ug4111,UG4111,1,19,1.02,30.832
UG4112,Kakumiro,Kakumiro,kakumiro-ug4112,UG4112,1,14,0.961,31.291
UG4113,Kamwenge,Kamwenge,kamwenge-ug4113,UG4113,1,11,0.334,30.614
UG4114,Kanungu,Kanungu,kanungu-ug4114,UG4114,1,17,-0.708,29.714
UG4115,Kasese,Kasese,kasese-ug4115,UG4115,3,32,0.136,30.008
UG4116,Kazo,Kazo,kazo-ug4116,UG4116,1,8,0.024,30.752
UG4117,Kibaale,Kibaale,kibaale-ug4117,UG4117,1,11,0.821,31.027
UG4118,Kikuube,Kikuube,kikuube-ug4118,UG4118,1,7,1.308,31.001
UG4119,Kiruhura,Kiruhura,kiruhura-ug4119,UG4119,1,10,-0.327,30.873
UG4120,Kiryandongo,Kiryandongo,kiryandongo-ug4120,UG4120,1,7,1.991,32.051
UG4121,Kisoro,Kisoro,kisoro-ug4121,UG4121,2,17,-1.198,29.669
UG4122,Kitagwenda,Kitagwenda,kitagwenda-ug4122,UG4122,1,7,0.014,30.324
UG4123,Kyegegwa,Kyegegwa,kyegegwa-ug4123,UG4123,1,9,0.478,31.001
UG4124,Kyenjojo,Kyenjojo,kyenjojo-ug4124,UG4124,1,20,0.643,30.659
UG4125,Masindi,Masindi,masindi-ug4125,UG4125,3,9,1.812,31.737
UG4126,Mbarara,Mbarara,mbarara-ug4126,UG4126,2,13,-0.487,30.628
UG4127,Mitooma,Mitooma,mitooma-ug4127,UG4127,1,12,-0.609,30.008
UG4128,Ntoroko,Ntoroko,ntoroko-ug4128,UG4128,1,10,0.99,30.387
UG4129,Ntungamo,Ntungamo,ntungamo-ug4129,UG4129,4,24,-0.956,30.3
UG4130,Rubanda,Rubanda,rubanda-ug4130,UG4130,1,9,-1.175,29.9
UG4131,Rubirizi,Rubirizi,rubirizi-ug4131,UG4131,1,11,-0.261,29.952
UG4132,Rukiga,Rukiga,rukiga-ug4132,UG4132,1,6,-1.147,30.055
UG4133,Rukungiri,Rukungiri,rukungiri-ug4133,UG4133,3,16,-0.699,29.891
UG4134,Rwampara,Rwampara,rwampara-ug4134,UG4134,1,5,-0.735,30.461
UG4135,Sheema,Sheema,sheema-ug4135,UG4135,2,15,-0.595,30.373
