id,name.local,name.en,name.slug,code.id,children_count.subcounty,geo.lat,geo.lon
UG102501,Lwemiyaga,Lwemiyaga,lwemiyaga-ug102501,UG102501,2,0.063,31.181
UG102502,Mawogola,Mawogola,mawogola-ug102502,UG102502,6,-0.069,31.419
