id,name.local,name.en,name.slug,code.id,children_count.county,children_count.subcounty,geo.lat,geo.lon
UG1001,Buikwe,Buikwe,buikwe-ug1001,UG1001,4,12,0.302,33.039
UG1002,Bukomansimbi,Bukomansimbi,bukomansimbi-ug1002,UG1002,1,5,-0.128,31.624
UG1003,Butambala,Butambala,butambala-ug1003,UG1003,1,6,0.162,32.136
UG1004,Buvuma,Buvuma,buvuma-ug1004,UG1004,1,9,-0.347,33.199
UG1005,Gomba,Gomba,gomba-ug1005,UG1005,1,5,0.203,31.737
UG1006,Kalangala,Kalangala,kalangala-ug1006,UG1006,2,7,-0.572,32.438
UG1007,Kalungu,Kalungu,kalungu-ug1007,UG1007,1,7,-0.1,31.815
UG1008,Kampala,Kampala,kampala-ug1008,UG1008,1,5,0.31,32.587
UG1009,Kassanda,Kassanda,kassanda-ug1009,UG1009,1,10,0.531,31.763
UG1010,Kayunga,Kayunga,kayunga-ug1010,UG1010,2,9,0.99,32.862
UG1011,Kiboga,Kiboga,kiboga-ug1011,UG1011,1,9,0.855,31.929
UG1012,Kyankwanzi,Kyankwanzi,kyankwanzi-ug1012,UG1012,1,14,1.091,31.682
UG1013,Kyotera,Kyotera,kyotera-ug1013,UG1013,1,12,-0.717,31.621
UG1014,Luwero,Luwero,luwero-ug1014,UG1014,2,13,0.846,32.603
UG1015,Lwengo,Lwengo,lwengo-ug1015,UG1015,1,8,-0.447,31.4
UG1016,Lyantonde,Lyantonde,lyantonde-ug1016,UG1016,1,7,-0.262,31.184
UG1017,Masaka,Masaka,masaka-ug1017,UG1017,2,9,-0.486,31.833
UG1018,Mityana,Mityana,mityana-ug1018,UG1018,4,14,0.453,32.078
UG1019,Mpigi,Mpigi,mpigi-ug1019,UG1019,1,7,0.126,32.254
UG1020,Mubende,Mubende,mubende-ug1020,UG1020,3,13,0.514,31.411
UG1021,Mukono,Mukono,mukono-ug1021,UG1021,4,15,0.351,32.775
UG1022,Nakaseke,Nakaseke,nakaseke-ug1022,UG1022,1,15,1,32.177
UG1023,Nakasongola,Nakasongola,nakasongola-ug1023,UG1023,1,11,1.316,32.491
UG1024,Rakai,Rakai,rakai-ug1024,UG1024,1,11,-0.727,31.339
UG1025,Ssembabule,Ssembabule,ssembabule-ug1025,UG1025,2,8,-0.055,31.374
UG1026,Wakiso,Wakiso,wakiso-ug1026,UG1026,6,27,0.216,32.514
