id,name.local,name.en,name.slug,code.id,children_count.subcounty,geo.lat,geo.lon
UG412501,Bujenje,Bujenje,bujenje-ug412501,UG412501,3,1.52,31.592
UG412502,Buruuli,Buruuli,buruuli-ug412502,UG412502,2,1.551,31.876
UG412503,Masindi Municipality,Masindi Municipality,masindi-municipality-ug412503,UG412503,4,1.678,31.703
